
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   20:54:46  MAR 08, 2017 CP=   2726.281

 pas_susp_dynamics                                                             



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        102 UY      
                  UY_2    
  0.78125E-06     0.00000    
  0.15625E-05     0.00000    
  0.23438E-05     0.00000    
  0.31250E-05     0.00000    
  0.39063E-05     0.00000    
  0.46875E-05     0.00000    
  0.54688E-05     0.00000    
  0.62500E-05     0.00000    
  0.70313E-05     0.00000    
  0.78125E-05     0.00000    
  0.85938E-05     0.00000    
  0.93750E-05     0.00000    
  0.10156E-04     0.00000    
  0.10938E-04     0.00000    
  0.11719E-04     0.00000    
  0.12500E-04     0.00000    
  0.13281E-04     0.00000    
  0.14063E-04     0.00000    
  0.14844E-04     0.00000    
  0.15625E-04     0.00000    
  0.16406E-04     0.00000    
  0.17188E-04     0.00000    
  0.17969E-04     0.00000    
  0.18750E-04     0.00000    
  0.19531E-04     0.00000    
  0.20312E-04     0.00000    
  0.21094E-04     0.00000    
  0.21875E-04     0.00000    
  0.22656E-04     0.00000    
  0.23437E-04     0.00000    
  0.24219E-04     0.00000    
  0.25000E-04     0.00000    
  0.25781E-04     0.00000    
  0.26562E-04     0.00000    
  0.27344E-04     0.00000    
  0.28125E-04     0.00000    
  0.28906E-04     0.00000    
  0.29687E-04     0.00000    
  0.30469E-04     0.00000    
  0.31250E-04     0.00000    
  0.32031E-04     0.00000    
  0.32812E-04     0.00000    
  0.33594E-04     0.00000    
  0.34375E-04     0.00000    
  0.35156E-04     0.00000    
  0.35937E-04     0.00000    
  0.36719E-04     0.00000    
  0.37500E-04     0.00000    
  0.38281E-04     0.00000    
  0.39063E-04     0.00000    
  0.39844E-04     0.00000    
  0.40625E-04     0.00000    
  0.41406E-04     0.00000    
  0.42188E-04     0.00000    
  0.42969E-04     0.00000    
  0.43750E-04     0.00000    
  0.44531E-04     0.00000    
  0.45313E-04     0.00000    
  0.46094E-04     0.00000    
  0.46875E-04     0.00000    
  0.47656E-04     0.00000    
  0.48438E-04     0.00000    
  0.49219E-04     0.00000    
  0.50000E-04     0.00000    
  0.50781E-04     0.00000    
  0.51563E-04     0.00000    
  0.52344E-04     0.00000    
  0.53125E-04     0.00000    
  0.53906E-04     0.00000    
  0.54688E-04     0.00000    
  0.55469E-04     0.00000    
  0.56250E-04     0.00000    
  0.57031E-04     0.00000    
  0.57813E-04     0.00000    
  0.58594E-04     0.00000    
  0.59375E-04     0.00000    
  0.60156E-04     0.00000    
  0.60938E-04     0.00000    
  0.61719E-04     0.00000    
  0.62500E-04     0.00000    
  0.63281E-04     0.00000    
  0.64063E-04     0.00000    
  0.64844E-04     0.00000    
  0.65625E-04     0.00000    
  0.66406E-04     0.00000    
  0.67188E-04     0.00000    
  0.67969E-04     0.00000    
  0.68750E-04     0.00000    
  0.69531E-04     0.00000    
  0.70313E-04     0.00000    
  0.71094E-04     0.00000    
  0.71875E-04     0.00000    
  0.72656E-04     0.00000    
  0.73437E-04     0.00000    
  0.74219E-04     0.00000    
  0.75000E-04     0.00000    
  0.75781E-04     0.00000    
  0.76562E-04     0.00000    
  0.77344E-04     0.00000    
  0.78125E-04     0.00000    
  0.78906E-04     0.00000    
  0.79687E-04     0.00000    
  0.80469E-04     0.00000    
  0.81250E-04     0.00000    
  0.82031E-04     0.00000    
  0.82812E-04     0.00000    
  0.83594E-04     0.00000    
  0.84375E-04     0.00000    
  0.85156E-04     0.00000    
  0.85937E-04     0.00000    
  0.86719E-04     0.00000    
  0.87500E-04     0.00000    
  0.88281E-04     0.00000    
  0.89062E-04     0.00000    
  0.89844E-04     0.00000    
  0.90625E-04     0.00000    
  0.91406E-04     0.00000    
  0.92187E-04     0.00000    
  0.92969E-04     0.00000    
  0.93750E-04     0.00000    
  0.94531E-04     0.00000    
  0.95312E-04     0.00000    
  0.96094E-04     0.00000    
  0.96875E-04     0.00000    
  0.97656E-04     0.00000    
  0.98437E-04     0.00000    
  0.99219E-04     0.00000    
  0.10000E-03     0.00000    
  0.10078E-03     0.00000    
  0.10156E-03     0.00000    
  0.10234E-03     0.00000    
  0.10312E-03     0.00000    
  0.10391E-03     0.00000    
  0.10469E-03     0.00000    
  0.10547E-03     0.00000    
  0.10625E-03     0.00000    
  0.10703E-03     0.00000    
  0.10781E-03     0.00000    
  0.10859E-03     0.00000    
