
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   20:54:46  MAR 08, 2017 CP=   2726.672

 pas_susp_dynamics                                                             



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        101 VOLT    
                  VOLT    
  0.15234E-03     7.06841    
  0.15312E-03     7.03515    
  0.15391E-03     6.73154    
  0.15469E-03     6.16924    
  0.15547E-03     5.36985    
  0.15625E-03     4.36410    
  0.15703E-03     3.19064    
  0.15781E-03     1.89456    
  0.15859E-03    0.525675    
  0.15937E-03   -0.863416    
  0.16016E-03    -2.21933    
  0.16094E-03    -3.48996    
  0.16172E-03    -4.62647    
  0.16250E-03    -5.58519    
  0.16328E-03    -6.32927    
  0.16406E-03    -6.83013    
  0.16484E-03    -7.06851    
  0.16562E-03    -7.03525    
  0.16641E-03    -6.73163    
  0.16719E-03    -6.16932    
  0.16797E-03    -5.36993    
  0.16875E-03    -4.36417    
  0.16953E-03    -3.19070    
  0.17031E-03    -1.89461    
  0.17109E-03   -0.525714    
  0.17187E-03    0.863387    
  0.17266E-03     2.21931    
  0.17344E-03     3.48994    
  0.17422E-03     4.62646    
  0.17500E-03     5.58519    
  0.17578E-03     6.32928    
  0.17656E-03     6.83014    
  0.17734E-03     7.06853    
  0.17812E-03     7.03527    
  0.17891E-03     6.73166    
  0.17969E-03     6.16935    
  0.18047E-03     5.36995    
  0.18125E-03     4.36420    
  0.18203E-03     3.19073    
  0.18281E-03     1.89464    
  0.18359E-03    0.525740    
  0.18437E-03   -0.863362    
  0.18516E-03    -2.21929    
  0.18594E-03    -3.48992    
  0.18672E-03    -4.62644    
  0.18750E-03    -5.58517    
  0.18828E-03    -6.32927    
  0.18906E-03    -6.83013    
  0.18984E-03    -7.06852    
  0.19062E-03    -7.03527    
  0.19141E-03    -6.73165    
  0.19219E-03    -6.16935    
  0.19297E-03    -5.36995    
  0.19375E-03    -4.36420    
  0.19453E-03    -3.19073    
  0.19531E-03    -1.89464    
  0.19609E-03   -0.525744    
  0.19687E-03    0.863357    
  0.19766E-03     2.21928    
  0.19844E-03     3.48992    
  0.19922E-03     4.62644    
  0.20000E-03     5.58517    
  0.20078E-03     6.32926    
  0.20156E-03     6.83013    
  0.20234E-03     7.06851    
  0.20312E-03     7.03526    
  0.20391E-03     6.73165    
  0.20469E-03     6.16934    
  0.20547E-03     5.36995    
  0.20625E-03     4.36419    
  0.20703E-03     3.19073    
  0.20781E-03     1.89464    
  0.20859E-03    0.525742    
  0.20937E-03   -0.863358    
  0.21016E-03    -2.21928    
  0.21094E-03    -3.48992    
  0.21172E-03    -4.62644    
  0.21250E-03    -5.58517    
  0.21328E-03    -6.32926    
  0.21406E-03    -6.83013    
  0.21484E-03    -7.06851    
  0.21562E-03    -7.03526    
  0.21641E-03    -6.73165    
  0.21719E-03    -6.16934    
  0.21797E-03    -5.36995    
  0.21875E-03    -4.36419    
  0.21953E-03    -3.19072    
  0.22031E-03    -1.89464    
  0.22109E-03   -0.525740    
  0.22187E-03    0.863360    
  0.22266E-03     2.21928    
  0.22344E-03     3.48992    
  0.22422E-03     4.62644    
  0.22500E-03     5.58517    
  0.22578E-03     6.32926    
  0.22656E-03     6.83013    
  0.22734E-03     7.06851    
  0.22812E-03     7.03526    
  0.22891E-03     6.73165    
  0.22969E-03     6.16934    
  0.23047E-03     5.36995    
  0.23125E-03     4.36419    
  0.23203E-03     3.19072    
  0.23281E-03     1.89464    
  0.23359E-03    0.525740    
  0.23437E-03   -0.863360    
  0.23516E-03    -2.21928    
  0.23594E-03    -3.48992    
  0.23672E-03    -4.62644    
  0.23750E-03    -5.58517    
  0.23828E-03    -6.32926    
  0.23906E-03    -6.83013    
  0.23984E-03    -7.06851    
  0.24062E-03    -7.03526    
  0.24141E-03    -6.73165    
  0.24219E-03    -6.16934    
  0.24297E-03    -5.36995    
  0.24375E-03    -4.36419    
  0.24453E-03    -3.19072    
  0.24531E-03    -1.89464    
  0.24609E-03   -0.525740    
  0.24687E-03    0.863360    
  0.24766E-03     2.21928    
  0.24844E-03     3.48992    
  0.24922E-03     4.62644    
  0.25000E-03     5.58517    
  0.25078E-03     6.32926    
  0.25156E-03     6.83013    
  0.25234E-03     7.06851    
  0.25312E-03     7.03526    
  0.25391E-03     6.73165    
  0.25469E-03     6.16934    
  0.25547E-03     5.36995    
  0.25625E-03     4.36419    
  0.25703E-03     3.19072    
  0.25781E-03     1.89464    
  0.25859E-03    0.525740    
  0.25937E-03   -0.863360    
  0.26016E-03    -2.21928    
  0.26094E-03    -3.48992    
  0.26172E-03    -4.62644    
  0.26250E-03    -5.58517    
  0.26328E-03    -6.32926    
  0.26406E-03    -6.83013    
  0.26484E-03    -7.06851    
  0.26562E-03    -7.03526    
  0.26641E-03    -6.73165    
  0.26719E-03    -6.16934    
  0.26797E-03    -5.36995    
  0.26875E-03    -4.36419    
  0.26953E-03    -3.19072    
  0.27031E-03    -1.89464    
  0.27109E-03   -0.525740    
  0.27187E-03    0.863360    
  0.27266E-03     2.21928    
  0.27344E-03     3.48992    
  0.27422E-03     4.62644    
  0.27500E-03     5.58517    
  0.27578E-03     6.32926    
  0.27656E-03     6.83013    
  0.27734E-03     7.06851    
  0.27812E-03     7.03526    
  0.27891E-03     6.73165    
  0.27969E-03     6.16934    
  0.28047E-03     5.36995    
  0.28125E-03     4.36419    
  0.28203E-03     3.19072    
  0.28281E-03     1.89464    
  0.28359E-03    0.525740    
  0.28438E-03   -0.863360    
  0.28516E-03    -2.21928    
  0.28594E-03    -3.48992    
  0.28672E-03    -4.62644    
  0.28750E-03    -5.58517    
  0.28828E-03    -6.32926    
  0.28906E-03    -6.83013    
  0.28984E-03    -7.06851    
  0.29063E-03    -7.03526    
  0.29141E-03    -6.73165    
  0.29219E-03    -6.16934    
  0.29297E-03    -5.36995    
  0.29375E-03    -4.36419    
  0.29453E-03    -3.19072    
  0.29531E-03    -1.89464    
  0.29609E-03   -0.525740    
  0.29688E-03    0.863360    
  0.29766E-03     2.21928    
  0.29844E-03     3.48992    
  0.29922E-03     4.62644    
  0.30000E-03     5.58517    
  0.30078E-03     6.32926    
  0.30156E-03     6.83013    
  0.30234E-03     7.06851    
  0.30313E-03     7.03526    
  0.30391E-03     6.73165    
  0.30469E-03     6.16934    
  0.30547E-03     5.36995    
  0.30625E-03     4.36419    
  0.30703E-03     3.19072    
  0.30781E-03     1.89464    
  0.30859E-03    0.525740    
  0.30938E-03   -0.863360    
  0.31016E-03    -2.21928    
  0.31094E-03    -3.48992    
  0.31172E-03    -4.62644    
  0.31250E-03    -5.58517    
  0.31328E-03    -6.32926    
  0.31406E-03    -6.83013    
  0.31484E-03    -7.06851    
  0.31563E-03    -7.03526    
  0.31641E-03    -6.73165    
  0.31719E-03    -6.16934    
  0.31797E-03    -5.36995    
  0.31875E-03    -4.36419    
  0.31953E-03    -3.19072    
  0.32031E-03    -1.89464    
  0.32109E-03   -0.525740    
  0.32188E-03    0.863360    
  0.32266E-03     2.21928    
  0.32344E-03     3.48992    
  0.32422E-03     4.62644    
  0.32500E-03     5.58517    
  0.32578E-03     6.32926    
  0.32656E-03     6.83013    
  0.32734E-03     7.06851    
  0.32813E-03     7.03526    
  0.32891E-03     6.73165    
  0.32969E-03     6.16934    
  0.33047E-03     5.36995    
  0.33125E-03     4.36419    
  0.33203E-03     3.19072    
  0.33281E-03     1.89464    
  0.33359E-03    0.525740    
  0.33438E-03   -0.863360    
  0.33516E-03    -2.21928    
  0.33594E-03    -3.48992    
  0.33672E-03    -4.62644    
  0.33750E-03    -5.58517    
  0.33828E-03    -6.32926    
  0.33906E-03    -6.83013    
  0.33984E-03    -7.06851    
  0.34063E-03    -7.03526    
  0.34141E-03    -6.73165    
  0.34219E-03    -6.16934    
  0.34297E-03    -5.36995    
  0.34375E-03    -4.36419    
  0.34453E-03    -3.19072    
  0.34531E-03    -1.89464    
  0.34609E-03   -0.525740    
  0.34688E-03    0.863360    
  0.34766E-03     2.21928    
  0.34844E-03     3.48992    
  0.34922E-03     4.62644    
  0.35000E-03     5.58517    
  0.35078E-03     6.32926    
  0.35156E-03     6.83013    
  0.35234E-03     7.06851    
  0.35313E-03     7.03526    
  0.35391E-03     6.73165    
  0.35469E-03     6.16934    
  0.35547E-03     5.36995    
  0.35625E-03     4.36419    
  0.35703E-03     3.19072    
  0.35781E-03     1.89464    
  0.35859E-03    0.525740    
  0.35938E-03   -0.863360    
  0.36016E-03    -2.21928    
  0.36094E-03    -3.48992    
  0.36172E-03    -4.62644    
  0.36250E-03    -5.58517    
  0.36328E-03    -6.32926    
  0.36406E-03    -6.83013    
  0.36484E-03    -7.06851    
  0.36563E-03    -7.03526    
  0.36641E-03    -6.73165    
  0.36719E-03    -6.16934    
  0.36797E-03    -5.36995    
  0.36875E-03    -4.36419    
  0.36953E-03    -3.19072    
  0.37031E-03    -1.89464    
  0.37109E-03   -0.525740    
  0.37188E-03    0.863360    
  0.37266E-03     2.21928    
  0.37344E-03     3.48992    
  0.37422E-03     4.62644    
  0.37500E-03     5.58517    
  0.37578E-03     6.32926    
  0.37656E-03     6.83013    
  0.37734E-03     7.06851    
  0.37813E-03     7.03526    
  0.37891E-03     6.73165    
  0.37969E-03     6.16934    
  0.38047E-03     5.36995    
  0.38125E-03     4.36419    
  0.38203E-03     3.19072    
  0.38281E-03     1.89464    
  0.38359E-03    0.525740    
  0.38438E-03   -0.863360    
  0.38516E-03    -2.21928    
  0.38594E-03    -3.48992    
  0.38672E-03    -4.62644    
  0.38750E-03    -5.58517    
  0.38828E-03    -6.32926    
  0.38906E-03    -6.83013    
  0.38984E-03    -7.06851    
  0.39063E-03    -7.03526    
  0.39141E-03    -6.73165    
  0.39219E-03    -6.16934    
  0.39297E-03    -5.36995    
  0.39375E-03    -4.36419    
  0.39453E-03    -3.19072    
  0.39531E-03    -1.89464    
  0.39609E-03   -0.525740    
  0.39688E-03    0.863360    
  0.39766E-03     2.21928    
  0.39844E-03     3.48992    
  0.39922E-03     4.62644    
  0.40000E-03     5.58517    
  0.40078E-03     6.32926    
  0.40156E-03     6.83013    
  0.40234E-03     7.06851    
  0.40313E-03     7.03526    
  0.40391E-03     6.73165    
  0.40469E-03     6.16934    
  0.40547E-03     5.36995    
  0.40625E-03     4.36419    
  0.40703E-03     3.19072    
  0.40781E-03     1.89464    
  0.40859E-03    0.525740    
  0.40938E-03   -0.863360    
  0.41016E-03    -2.21928    
  0.41094E-03    -3.48992    
  0.41172E-03    -4.62644    
  0.41250E-03    -5.58517    
  0.41328E-03    -6.32926    
  0.41406E-03    -6.83013    
  0.41484E-03    -7.06851    
  0.41563E-03    -7.03526    
  0.41641E-03    -6.73165    
  0.41719E-03    -6.16934    
  0.41797E-03    -5.36995    
  0.41875E-03    -4.36419    
  0.41953E-03    -3.19072    
  0.42031E-03    -1.89464    
  0.42109E-03   -0.525740    
  0.42188E-03    0.863360    
  0.42266E-03     2.21928    
  0.42344E-03     3.48992    
  0.42422E-03     4.62644    
  0.42500E-03     5.58517    
  0.42578E-03     6.32926    
  0.42656E-03     6.83013    
  0.42734E-03     7.06851    
  0.42813E-03     7.03526    
  0.42891E-03     6.73165    
  0.42969E-03     6.16934    
  0.43047E-03     5.36995    
  0.43125E-03     4.36419    
  0.43203E-03     3.19072    
  0.43281E-03     1.89464    
  0.43359E-03    0.525740    
  0.43438E-03   -0.863360    
  0.43516E-03    -2.21928    
  0.43594E-03    -3.48992    
  0.43672E-03    -4.62644    
  0.43750E-03    -5.58517    
  0.43828E-03    -6.32926    
  0.43906E-03    -6.83013    
  0.43984E-03    -7.06851    
  0.44063E-03    -7.03526    
  0.44141E-03    -6.73165    
  0.44219E-03    -6.16934    
  0.44297E-03    -5.36995    
  0.44375E-03    -4.36419    
  0.44453E-03    -3.19072    
  0.44531E-03    -1.89464    
  0.44609E-03   -0.525740    
  0.44688E-03    0.863360    
  0.44766E-03     2.21928    
  0.44844E-03     3.48992    
  0.44922E-03     4.62644    
  0.45000E-03     5.58517    
  0.45078E-03     6.32926    
  0.45156E-03     6.83013    
  0.45234E-03     7.06851    
  0.45313E-03     7.03526    
  0.45391E-03     6.73165    
  0.45469E-03     6.16934    
  0.45547E-03     5.36995    
  0.45625E-03     4.36419    
  0.45703E-03     3.19072    
  0.45781E-03     1.89464    
  0.45859E-03    0.525740    
  0.45938E-03   -0.863360    
  0.46016E-03    -2.21928    
  0.46094E-03    -3.48992    
  0.46172E-03    -4.62644    
  0.46250E-03    -5.58517    
  0.46328E-03    -6.32926    
  0.46406E-03    -6.83013    
  0.46484E-03    -7.06851    
  0.46563E-03    -7.03526    
  0.46641E-03    -6.73165    
  0.46719E-03    -6.16934    
  0.46797E-03    -5.36995    
  0.46875E-03    -4.36419    
  0.46953E-03    -3.19072    
  0.47031E-03    -1.89464    
  0.47109E-03   -0.525740    
  0.47188E-03    0.863360    
  0.47266E-03     2.21928    
  0.47344E-03     3.48992    
  0.47422E-03     4.62644    
  0.47500E-03     5.58517    
  0.47578E-03     6.32926    
  0.47656E-03     6.83013    
  0.47734E-03     7.06851    
  0.47813E-03     7.03526    
  0.47891E-03     6.73165    
  0.47969E-03     6.16934    
  0.48047E-03     5.36995    
  0.48125E-03     4.36419    
  0.48203E-03     3.19072    
  0.48281E-03     1.89464    
  0.48359E-03    0.525740    
  0.48438E-03   -0.863360    
  0.48516E-03    -2.21928    
  0.48594E-03    -3.48992    
  0.48672E-03    -4.62644    
  0.48750E-03    -5.58517    
  0.48828E-03    -6.32926    
  0.48906E-03    -6.83013    
  0.48984E-03    -7.06851    
  0.49063E-03    -7.03526    
  0.49141E-03    -6.73165    
  0.49219E-03    -6.16934    
  0.49297E-03    -5.36995    
  0.49375E-03    -4.36419    
  0.49453E-03    -3.19072    
  0.49531E-03    -1.89464    
  0.49609E-03   -0.525740    
  0.49688E-03    0.863360    
  0.49766E-03     2.21928    
  0.49844E-03     3.48992    
  0.49922E-03     4.62644    
  0.50000E-03     5.58517    
  0.50078E-03     6.32926    
  0.50156E-03     6.83013    
  0.50234E-03     7.06851    
  0.50313E-03     7.03526    
  0.50391E-03     6.73165    
  0.50469E-03     6.16934    
  0.50547E-03     5.36995    
  0.50625E-03     4.36419    
  0.50703E-03     3.19072    
  0.50781E-03     1.89464    
  0.50859E-03    0.525740    
  0.50938E-03   -0.863360    
  0.51016E-03    -2.21928    
  0.51094E-03    -3.48992    
  0.51172E-03    -4.62644    
  0.51250E-03    -5.58517    
  0.51328E-03    -6.32926    
  0.51406E-03    -6.83013    
  0.51484E-03    -7.06851    
  0.51563E-03    -7.03526    
  0.51641E-03    -6.73165    
  0.51719E-03    -6.16934    
  0.51797E-03    -5.36995    
  0.51875E-03    -4.36419    
  0.51953E-03    -3.19072    
  0.52031E-03    -1.89464    
  0.52109E-03   -0.525740    
  0.52188E-03    0.863360    
  0.52266E-03     2.21928    
  0.52344E-03     3.48992    
  0.52422E-03     4.62644    
  0.52500E-03     5.58517    
  0.52578E-03     6.32926    
  0.52656E-03     6.83013    
  0.52734E-03     7.06851    
  0.52813E-03     7.03526    
  0.52891E-03     6.73165    
  0.52969E-03     6.16934    
  0.53047E-03     5.36995    
  0.53125E-03     4.36419    
  0.53203E-03     3.19072    
  0.53281E-03     1.89464    
  0.53359E-03    0.525740    
  0.53438E-03   -0.863360    
  0.53516E-03    -2.21928    
  0.53594E-03    -3.48992    
  0.53672E-03    -4.62644    
  0.53750E-03    -5.58517    
  0.53828E-03    -6.32926    
  0.53906E-03    -6.83013    
  0.53984E-03    -7.06851    
  0.54063E-03    -7.03526    
  0.54141E-03    -6.73165    
  0.54219E-03    -6.16934    
  0.54297E-03    -5.36995    
  0.54375E-03    -4.36419    
  0.54453E-03    -3.19072    
  0.54531E-03    -1.89464    
  0.54609E-03   -0.525740    
  0.54688E-03    0.863360    
  0.54766E-03     2.21928    
  0.54844E-03     3.48992    
  0.54922E-03     4.62644    
  0.55000E-03     5.58517    
  0.55078E-03     6.32926    
  0.55156E-03     6.83013    
  0.55234E-03     7.06851    
  0.55313E-03     7.03526    
  0.55391E-03     6.73165    
  0.55469E-03     6.16934    
  0.55547E-03     5.36995    
  0.55625E-03     4.36419    
  0.55703E-03     3.19072    
  0.55781E-03     1.89464    
  0.55859E-03    0.525740    
  0.55938E-03   -0.863360    
  0.56016E-03    -2.21928    
  0.56094E-03    -3.48992    
  0.56172E-03    -4.62644    
  0.56250E-03    -5.58517    
  0.56328E-03    -6.32926    
  0.56406E-03    -6.83013    
  0.56484E-03    -7.06851    
  0.56563E-03    -7.03526    
  0.56641E-03    -6.73165    
  0.56719E-03    -6.16934    
  0.56797E-03    -5.36995    
  0.56875E-03    -4.36419    
  0.56953E-03    -3.19072    
  0.57031E-03    -1.89464    
  0.57109E-03   -0.525740    
  0.57188E-03    0.863360    
  0.57266E-03     2.21928    
  0.57344E-03     3.48992    
  0.57422E-03     4.62644    
  0.57500E-03     5.58517    
  0.57578E-03     6.32926    
  0.57656E-03     6.83013    
  0.57734E-03     7.06851    
  0.57813E-03     7.03526    
  0.57891E-03     6.73165    
  0.57969E-03     6.16934    
  0.58047E-03     5.36995    
  0.58125E-03     4.36419    
  0.58203E-03     3.19072    
  0.58281E-03     1.89464    
  0.58359E-03    0.525740    
  0.58438E-03   -0.863360    
  0.58516E-03    -2.21928    
  0.58594E-03    -3.48992    
  0.58672E-03    -4.62644    
  0.58750E-03    -5.58517    
  0.58828E-03    -6.32926    
  0.58906E-03    -6.83013    
  0.58984E-03    -7.06851    
  0.59063E-03    -7.03526    
  0.59141E-03    -6.73165    
  0.59219E-03    -6.16934    
  0.59297E-03    -5.36995    
  0.59375E-03    -4.36419    
  0.59453E-03    -3.19072    
  0.59531E-03    -1.89464    
  0.59609E-03   -0.525740    
  0.59688E-03    0.863360    
  0.59766E-03     2.21928    
  0.59844E-03     3.48992    
  0.59922E-03     4.62644    
  0.60000E-03     5.58517    
  0.60078E-03     6.32926    
  0.60156E-03     6.83013    
  0.60234E-03     7.06851    
  0.60313E-03     7.03526    
  0.60391E-03     6.73165    
  0.60469E-03     6.16934    
  0.60547E-03     5.36995    
  0.60625E-03     4.36419    
  0.60703E-03     3.19072    
  0.60781E-03     1.89464    
  0.60859E-03    0.525740    
  0.60938E-03   -0.863360    
  0.61016E-03    -2.21928    
  0.61094E-03    -3.48992    
  0.61172E-03    -4.62644    
  0.61250E-03    -5.58517    
  0.61328E-03    -6.32926    
  0.61406E-03    -6.83013    
  0.61484E-03    -7.06851    
  0.61563E-03    -7.03526    
  0.61641E-03    -6.73165    
  0.61719E-03    -6.16934    
  0.61797E-03    -5.36995    
  0.61875E-03    -4.36419    
  0.61953E-03    -3.19072    
  0.62031E-03    -1.89464    
  0.62109E-03   -0.525740    
  0.62188E-03    0.863360    
  0.62266E-03     2.21928    
  0.62344E-03     3.48992    
  0.62422E-03     4.62644    
  0.62500E-03     5.58517    
  0.62578E-03     6.32926    
  0.62656E-03     6.83013    
  0.62734E-03     7.06851    
  0.62813E-03     7.03526    
  0.62891E-03     6.73165    
  0.62969E-03     6.16934    
  0.63047E-03     5.36995    
  0.63125E-03     4.36419    
  0.63203E-03     3.19072    
  0.63281E-03     1.89464    
  0.63359E-03    0.525740    
  0.63438E-03   -0.863360    
  0.63516E-03    -2.21928    
  0.63594E-03    -3.48992    
  0.63672E-03    -4.62644    
  0.63750E-03    -5.58517    
  0.63828E-03    -6.32926    
  0.63906E-03    -6.83013    
  0.63984E-03    -7.06851    
  0.64063E-03    -7.03526    
  0.64141E-03    -6.73165    
  0.64219E-03    -6.16934    
  0.64297E-03    -5.36995    
  0.64375E-03    -4.36419    
